window_id,symbol,window_start_utc,window_end_utc,point_count
btcusdt_0129,BTCUSDT,2026-02-12T09:04:00Z,2026-02-12T19:43:00Z,640
btcusdt_0130,BTCUSDT,2026-02-12T11:12:00Z,2026-02-12T21:51:00Z,640
btcusdt_0131,BTCUSDT,2026-02-12T13:20:00Z,2026-02-12T23:59:00Z,640
btcusdt_0132,BTCUSDT,2026-02-12T15:28:00Z,2026-02-13T02:07:00Z,640
btcusdt_0133,BTCUSDT,2026-02-12T17:36:00Z,2026-02-13T04:15:00Z,640
btcusdt_0134,BTCUSDT,2026-02-12T19:44:00Z,2026-02-13T06:23:00Z,640
btcusdt_0135,BTCUSDT,2026-02-12T21:52:00Z,2026-02-13T08:31:00Z,640
btcusdt_0136,BTCUSDT,2026-02-13T00:00:00Z,2026-02-13T10:39:00Z,640
btcusdt_0137,BTCUSDT,2026-02-13T02:08:00Z,2026-02-13T12:47:00Z,640
btcusdt_0138,BTCUSDT,2026-02-13T04:16:00Z,2026-02-13T14:55:00Z,640
btcusdt_0139,BTCUSDT,2026-02-13T06:24:00Z,2026-02-13T17:03:00Z,640
btcusdt_0140,BTCUSDT,2026-02-13T08:32:00Z,2026-02-13T19:11:00Z,640
btcusdt_0141,BTCUSDT,2026-02-13T10:40:00Z,2026-02-13T21:19:00Z,640
btcusdt_0142,BTCUSDT,2026-02-13T12:48:00Z,2026-02-13T23:27:00Z,640
btcusdt_0143,BTCUSDT,2026-02-13T14:56:00Z,2026-02-14T01:35:00Z,640
btcusdt_0144,BTCUSDT,2026-02-13T17:04:00Z,2026-02-14T03:43:00Z,640
btcusdt_0145,BTCUSDT,2026-02-13T19:12:00Z,2026-02-14T05:51:00Z,640
btcusdt_0146,BTCUSDT,2026-02-13T21:20:00Z,2026-02-14T07:59:00Z,640
btcusdt_0147,BTCUSDT,2026-02-13T23:28:00Z,2026-02-14T10:07:00Z,640
btcusdt_0148,BTCUSDT,2026-02-14T01:36:00Z,2026-02-14T12:15:00Z,640
btcusdt_0149,BTCUSDT,2026-02-14T03:44:00Z,2026-02-14T14:23:00Z,640
btcusdt_0150,BTCUSDT,2026-02-14T05:52:00Z,2026-02-14T16:31:00Z,640
btcusdt_0151,BTCUSDT,2026-02-14T08:00:00Z,2026-02-14T18:39:00Z,640
btcusdt_0152,BTCUSDT,2026-02-14T10:08:00Z,2026-02-14T20:47:00Z,640
btcusdt_0153,BTCUSDT,2026-02-14T12:16:00Z,2026-02-14T22:55:00Z,640
btcusdt_0154,BTCUSDT,2026-02-14T14:24:00Z,2026-02-15T01:03:00Z,640
btcusdt_0155,BTCUSDT,2026-02-14T16:32:00Z,2026-02-15T03:11:00Z,640
btcusdt_0156,BTCUSDT,2026-02-14T18:40:00Z,2026-02-15T05:19:00Z,640
btcusdt_0157,BTCUSDT,2026-02-14T20:48:00Z,2026-02-15T07:27:00Z,640
btcusdt_0158,BTCUSDT,2026-02-14T22:56:00Z,2026-02-15T09:35:00Z,640
btcusdt_0159,BTCUSDT,2026-02-15T01:04:00Z,2026-02-15T11:43:00Z,640
btcusdt_0160,BTCUSDT,2026-02-15T03:12:00Z,2026-02-15T13:51:00Z,640
btcusdt_0161,BTCUSDT,2026-02-15T05:20:00Z,2026-02-15T15:59:00Z,640
btcusdt_0162,BTCUSDT,2026-02-15T07:28:00Z,2026-02-15T18:07:00Z,640
btcusdt_0163,BTCUSDT,2026-02-15T09:36:00Z,2026-02-15T20:15:00Z,640
btcusdt_0164,BTCUSDT,2026-02-15T11:44:00Z,2026-02-15T22:23:00Z,640
btcusdt_0165,BTCUSDT,2026-02-15T13:52:00Z,2026-02-16T00:31:00Z,640
btcusdt_0166,BTCUSDT,2026-02-15T16:00:00Z,2026-02-16T02:39:00Z,640
